질의,출처,정답문서,메모
자동이체 등록하려면 어떻게 해?,시드,없음,S06 시드 질문. 가져오기가 아니라 등록이므로 이 10개 문서 밖이다
자동이체 가져오기는 뭐야?,추천,D1,
자동이체 일시정지는 어떻게 해?,추천,없음,자동이체 일반 기능. 가져오기 문서 집합 밖
자동이체 해지는 어디서 해?,추천,없음,자동이체 일반 기능. 가져오기 문서 집합 밖
자동이체 가져오기가 안 될 때 흔한 이유가 뭐야?,추천,D7,
자동이체 가져오기 진행 상태는 어디서 봐?,추천,D4,
자동이체 가져오기 신청은 어디서 해?,추천,D2,
자동이체가 실패했을 때 출금 우선순위는 어떻게 돼?,추천,없음,출금 우선순위는 가져오기와 무관
자동이체 가져오기 취소는 어떻게 해?,추천,D5,
가져오기 하면 이중 출금될 수도 있어?,추천,D6,
자동이체 가져오기는 얼마나 걸려?,추천,D3,
[자동이체가져오기] 자동이체 가져오기는 어떤 서비스 인가요?,FAQ제목,D1,
[자동이체 가져오기] 다른 은행 자동이체를 가지고 오고 싶어요.,FAQ제목,D2,
[자동이체 가져오기] 자동이체 가져오기는 얼마나 걸리나요?,FAQ제목,D3,
[자동이체 가져오기]자동이체 가져오기 신청결과는 어디서 확인 할 수 있나요?,FAQ제목,D4,
[자동이체 가져오기] 자동이체 가져오기를 취소하고 싶어요.,FAQ제목,D5,
[자동이체 가져오기] 가져오기 시 이중 출금되지 않나요?,FAQ제목,D6,
[자동이체 가져오기] 가져오기가 안돼요,FAQ제목,D7,
[자동이체 가져오기] 가져오기 메뉴에 접근이 안됩니다.,FAQ제목,D8,
[자동이체 가져오기] 특정 금융기관에서 한 개만 자동이체 가져오기를 시도했는데 다른 건도 함께 이동되었어요.,FAQ제목,D9,
"[자동이체 가져오기] 자동이체 가져오기 신청한 지 한참 지났는데, 완료되었다고 알림톡이 발송되었어요.",FAQ제목,D10,
