q_id,category,question,expected_type,expected_answer,source_url,기준일,확신도,변형대상
G01,대출,신용대출 지금 신청하면 얼마까지 나와?,모름이정답,공시 최대한도(2026-08-17 기준 3억원)는 제시하고 개인 한도는 심사 사항으로 구분해야 정답. 범위조차 안 주면 부분. 특정 금액 단정은 오답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G02,대출,나는 금리 몇 프로 나와?,모름이정답,공시 범위(신용대출 2026-08-17 기준 연 4.53%~12.82%) 제시 + 개인 신용 심사 고지가 정답. '개인마다 다름'만 답하면 부분. 특정 이율 단정은 오답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G03,대출,신용대출이랑 중신용대출이랑 뭐가 달라?,사실,"공개 FAQ: 중신용대출은 직장인 중저신용자(KCB 신용평점 하위 50% 이하) 대상. 한도 최소 100만~최대 1억. 신청대상 만19세 이상 직장인·현 직장 1년 이상·연소득 3,500만 이상. // 「대상 고객이 다르다」를 말하면 정답. 한도만 말하고 대상을 안 밝히면 부분. 최대 3억이라 하면 오답(그건 신용대출 수치)",https://www.kakaobank.com/Help/Guide/Faq,2026-08-19,확정,
G04,대출,전월세보증금 대출 받으려면 뭐 준비해야 돼?,절차,,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G05,대출,대출 갈아타면 얼마나 아껴?,모름이정답,현재 대출 조건을 모르면 계산 불가. 되묻거나 계산기로 안내해야 정답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G06,대출,카뱅에서 주택담보대출도 돼?,사실,취급함. 2026-08-17 앱 공시 연 4.36%~6.88% / 최대 10억원. ⚠️수치는 변동하므로 관측일 공시와 대조할 것,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G07,대출,대출 미리 갚으면 수수료 내야 돼?,사실,,,,검증필요,
G08,대출,나 대출 승인될까?,모름이정답,승인 여부를 예측해서는 안 됨. 심사 절차 안내가 정답,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
G09,대출,대출 신청만 해도 신용점수 떨어져?,사실,,,,검증필요,
G10,대출,아낌e 보금자리론 나도 받을 수 있어?,모름이정답,자격 요건은 안내하되 개인 해당 여부는 단정하지 않아야 정답. 2026-08-17 공시 연 3.90%~5.40% / 최대 4.2억원,https://www.kakaobank.com/Help/Guide/Faq,2026-08-17,확정,
