질의,출처,정답문서,메모,분할
26주적금은 매주 얼마씩 넣어야 해?,추천,E1,가입금액 5종과 매주 증액 구조는 E1에만 있다,작성용
26주적금 만기 금액은 얼마나 돼?,추천,없음,E1이 26주차 2만 6천 원까지 예시를 들지만 만기 총액은 어느 문서에도 없다,없음질의
26주적금은 어디에서 가입해?,추천,E6,가입 경로 문서,작성용
26주적금 중간에 실패한 주가 생기면 어떻게 돼?,추천,E8,빈자리 채우기 전용 문서. E3도 언급하지만 E8이 이 질문 자체다,작성용
26주적금 가입은 어디에서 해?,추천,E6,위와 같은 목적지인데 말투만 다르다,검증용
26주적금에서 연속 성공 조건이 정확히 뭐야?,추천,E4,우대금리 제공 조건 7주·26주,작성용
26주적금이랑 자유적금 뭐가 달라?,추천,없음,자유적금 문서가 이 묶음에 없다,없음질의
26주적금이랑 한달적금 중에 뭐가 더 유리해?,추천,없음,한달적금 문서가 이 묶음에 없다,없음질의
26주적금은 매주 얼마씩 늘어나는 구조야?,추천,E1,1번과 같은 목적지. 말투가 다르다,검증용
26주적금은 6개월 동안 총 얼마를 넣게 돼?,추천,없음,E2가 6개월 고정을 말하지만 총 납입액은 없다,없음질의
26주적금 긴급출금은 어떤 조건으로 할 수 있어?,추천,없음,긴급출금 문서가 이 묶음에 없다,없음질의
26주적금 중간에 해지하면 이자가 얼마나 줄어들어?,추천,E4,감소폭 수치는 없으나 중도해지 시 우대금리 미제공을 밝힌 것은 E4뿐이다,검증용
26주적금이랑 정기예금 중에 목돈 만들기엔 뭐가 나아?,추천,없음,정기예금 문서가 이 묶음에 없다,없음질의
26주적금에서 자동이체 한 번 실패하면 이자(우대) 차이가 얼마나 나?,추천,E4,우대금리 조건 문서,검증용
26주적금 우대금리 조건 쉽게 정리해줘,추천,E4,우대금리 조건 문서,작성용
[26주적금] 26주적금이 무엇인가요?,FAQ제목,E1,,-
[26주적금] 26주적금은 계약기간을 선택할 수 없나요?,FAQ제목,E2,,-
[26주적금] 26주적금은 어떻게 입금 할 수 있나요?,FAQ제목,E3,,-
[26주적금] 26주적금 우대금리를 받으려면 어떻게 해야 하나요?,FAQ제목,E4,,-
[26주적금] 26주적금 계좌는 몇 개까지 개설 할 수 있나요?,FAQ제목,E5,,-
[26주적금] 26주적금 어떻게 시작하나요?,FAQ제목,E6,,-
[26주적금] 26주적금을 해지하고싶어요.,FAQ제목,E7,,-
[26주적금] 26주적금 도전 중 자동이체 납입 실패가 발생했어요. 빈자리를 채울 수 없을까요?,FAQ제목,E8,,-
[26주적금] 26주적금 가입 시 함께 도전할 캐릭터를 선택할 수 있나요?,FAQ제목,E9,,-
[26주적금] 26주적금 자동이체 요일은 선택 및 변경이 가능한가요?,FAQ제목,E10,,-
[26주적금] 26주적금은 만기 자동연장이 안되나요?,FAQ제목,E11,,-
[26주적금] 26주적금 가입 중 자동이체 해지도 가능한가요?,FAQ제목,E12,,-
[26주적금] 26주적금 가입 중 최초에 선택했던 가입금액 변경이 가능한가요?,FAQ제목,E13,,-
[26주적금] 자동이체 계좌를 변경하고 싶어요.,FAQ제목,E14,,-
[26주적금 with 제휴] 계좌를 해지하면 받은 혜택도 모두 사용이 불가한가요?,FAQ제목,E15,,-
[26주적금 with 제휴] 계좌 해지 후 재개설이 가능한가요?,FAQ제목,E16,,-
