seed_id,round,turn,입력질문,답변요약,근거표시,한계고지,노출된_추천_전부,클릭한_추천,앱기능_진입,진입한_기능명,판정,메모
S01,1,1,세이프박스 금리 얼마야?,"세이프박스 기본금리 연 1.60%(세전), 기준일 2026.08.17 명시, 금리쿠폰 우대 가능성 언급",기준일,O,세이프박스 이자는 언제 들어와? | 세이프박스 한도 1억원으로 올리는 방법 알려줘 | 달러 세이프박스 금리도 알려줘,세이프박스 이자는 언제 들어와?,O,세이프박스(상품화면),정답,"원문: 세이프박스 기본금리는 연 1.60%(세전) 이에요. / 기준: 2026.08.17 / 금리쿠폰이 있으면, 쿠폰 조건에 따라 추가 우대금리가 붙을 수 있어요. || 피드백UI: 👍 👎 공유 복사 4개 아이콘 || 하단에 '세이프박스 >' 상품화면 딥링크 버튼 || 출처 원문 링크는 없음"
S01,1,2,1. 세이프박스 이자는 언제 들어와?,"이자 지급일은 매월 네 번째 금요일 다음날(토요일). 원하는 날 직접 이자 받기 가능. 이자는 세이프박스로 재입금",X,해당없음,없음,,O,세이프박스(상품화면),정답,"🔴막다른 길 — 추천 질문이 0개. 1턴에는 3개였다가 2턴에 사라짐 || 원문: 세이프박스 이자는 보통 매월 네 번째 금요일 다음날(토요일) 에 들어와요. 또는 원하시면 원하는 날에 직접 이자 받기도 할 수 있고요. / 이자는 직전 이자 받은 날부터 이자 지급일 전날까지 쌓인 금액을 합쳐서 지급돼요. / 이자는 세이프박스에 그대로 들어와요. || 딥링크 URL: https://kakaobank.onelink.me/0qMi/un89bzqp || ⚠️입력에 목록 번호 '1. '가 딸려 들어감 || 기준일 표기 없음(1턴에는 있었음)"
S01,1,3,,,,,,,,,,2턴에서 막다른 길로 종료. 3~5턴 미실시
S01,1,4,,,,,,,,,,
S01,1,5,,,,,,,,,,
S02,1,1,모임통장 만들면 이자 붙어?,"이자 붙음. 모임통장은 별도 예금상품이 아니라 입출금통장에 서비스를 붙인 형태라 연결 입출금통장 금리 연 0.10%(세전) 적용. 매월 네번째 금요일 결산 다음날 지급. 이자소득은 모임주 개인 금융소득으로 귀속",X,해당없음,모임통장 만들면 최대 몇 명까지 같이 쓸 수 있어? | 모임통장 만들 때 새 통장으로 만들어야 해? | 모임통장에 연결할 수 있는 체크카드는 뭐가 있어?,모임통장 만들면 최대 몇 명까지 같이 쓸 수 있어?,O,모임통장(상품화면),정답,"딥링크 URL: https://kakaobank.onelink.me/0qMi/57wqzfom || 👍묻지 않은 세무 유의사항을 자발적으로 덧붙임(이자소득이 모임주 개인 금융소득으로 잡힘) — 좋은 답변 특성 || 👍상품 구조 오해를 먼저 교정(별도 예금상품 아님) || ⚠️기준일 표기 없음 — S01 1턴에는 있었다 || 텍스트 복사에 추천 목록이 포함됨을 확인"
S02,1,2,모임통장 만들면 최대 몇 명까지 같이 쓸 수 있어?,"모임 1개당 멤버 최대 100명. 모임주는 최대 100개 개설, 모임멤버는 최대 30개 참여",X,해당없음,모임통장 만들려면 어떤 통장이 필요해? | 모임통장 멤버 초대는 어떻게 해? | 모임통장에 체크카드도 연결할 수 있어?,모임통장 만들려면 어떤 통장이 필요해?,O,모임통장(상품화면),정답,"딥링크 URL 1턴과 동일: https://kakaobank.onelink.me/0qMi/57wqzfom || 🔴추천 재탕 — 1턴 추천2 '모임통장 만들 때 새 통장으로 만들어야 해?' ≒ 2턴 추천1 '모임통장 만들려면 어떤 통장이 필요해?' / 1턴 추천3 '연결할 수 있는 체크카드는 뭐가 있어?' ≒ 2턴 추천3 '체크카드도 연결할 수 있어?' — 사실상 같은 질문의 재표현 || 묻지 않은 개설/참여 한도까지 덧붙임 || 기준일 표기 없음"
S02,1,3,모임통장 만들려면 어떤 통장이 필요해?,"카뱅 입출금통장 필요. 새 통장을 만드는 게 아니라 기존 입출금통장을 모임통장 서비스로 전환. 모임주는 만17세 이상 본인명의 입출금계좌. 통장 1개당 모임통장 1개. 신청 불가 계좌 5종 예시 제시",X,O,모임통장 신청은 앱에서 어디로 들어가면 돼? | 모임통장 멤버 초대는 어떻게 해? | 모임통장에 체크카드 연결하면 누가 쓸 수 있어?,모임통장 신청은 앱에서 어디로 들어가면 돼?,O,모임통장(상품화면),정답,"딥링크 URL 1·2턴과 동일 || 한계고지 O 근거: 불가 계좌 목록에 '(예시)' 명시 + '신규 신청 제한될 수 있어요' — 목록이 전부가 아님을 스스로 밝힘 || 🔴추천 재탕 심화 — '모임통장 멤버 초대는 어떻게 해?'가 2턴·3턴 연속 완전히 동일한 문구. 체크카드 추천은 1·2·3턴 3연속 변주 || ❓답변에 '마이너스통장'이 등장 — 앱 전체 메뉴에는 없던 이름이다(한도대출 계좌를 가리킴). 상품 실재 여부 재확인 필요 || 기준일 표기 없음"
S02,1,4,모임통장 신청은 앱에서 어디로 들어가면 돼?,"진입 경로 2개 제시 — ①전체탭>통장>모임통장>모임통장 신청하기 ②입출금통장 화면>우상단 관리(톱니바퀴)>모임통장 사용하기",X,해당없음,모임통장 멤버 초대는 어떻게 해? | 모임통장 회비 요청은 어떻게 해? | 모임통장 해지는 어떻게 해?,모임통장 멤버 초대는 어떻게 해?,O,모임통장(상품화면),정답,"딥링크 URL 1~3턴과 동일 || 🔴'모임통장 멤버 초대는 어떻게 해?'가 2·3·4턴 3연속 동일 문구로 노출 || 다만 4턴에 새 주제 2개(회비 요청·해지) 등장 — 추천 풀이 완전히 막힌 건 아님 || ✅경로 검증 완료(2026-08-17): '전체탭>통장>모임통장>모임통장 신청하기' 실재 확인. 안내 경로가 실제 UI와 일치 || 추천에 '회비 요청'이 떴으나 딥링크는 여전히 상품화면 — AI 모임총무로는 안 데려감 || 기준일 표기 없음"
S02,1,5,모임통장 멤버 초대는 어떻게 해?,"모임주만 초대 가능. 모임통장 홈>우상단 관리(톱니바퀴)>모임멤버 초대하기>카카오톡 친구/채팅방으로 초대장 발송. 초대받는 사람은 카뱅 계좌 없어도 초대장 수신 가능하나 참여하려면 앱 설치+회원가입 필요",X,해당없음,모임통장에서 회비 요청은 어떻게 해? | 모임통장 멤버를 내보내는 방법 알려줘 | 모임통장 멤버는 모임통장에서 나가려면 어떻게 해?,,O,모임통장(상품화면),정답,"5턴 종료(추천은 3개 노출되었으나 클릭하지 않음) || 딥링크 URL 1~5턴 전부 동일 || 🔴S02 5턴 내내 AI 기능 도달 0회 — 모임통장은 AI 모임총무와 직결되는 상품인데도 상품화면 딥링크만 || ❓초대장을 다루는 답변인데 'AI 초대장' 기능(FAQ 17건으로 AI 기능 중 3위)으로 라우팅되지 않음 — 별개 기능인지 미도달인지 확인 필요 || 4·5턴 추천에 '회비 요청'이 계속 떴으나 첫 번째 클릭 규칙상 미방문 → 2라운드 후보 || 기준일 표기 없음(5턴 전부)"
